itemset_combinations,time_frequent_itemsets,time_association_rules,time_total,time_per_itemset_combination
1.0,0.0034197171529134116,0.0002272923787434896,0.003647009531656901,0.003647009531656901
3.0,0.004802227020263672,0.00018326441446940103,0.004985491434733073,0.0016618304782443577
7.0,0.007328430811564128,0.005985657374064128,0.013314088185628256,0.0019020125979468936
15.0,0.016336679458618164,0.013419310251871744,0.02975598971048991,0.001983732647365994
31.0,0.023928721745808918,0.016412655512491863,0.04034137725830078,0.001301334750267767
63.0,0.03527228037516276,0.01334524154663086,0.04861752192179362,0.0007717066971713272
127.0,0.06461636225382487,0.013023058573404947,0.07763942082722981,0.0006113340222616521
255.0,0.12523388862609863,0.01320338249206543,0.13843727111816406,0.0005428912592869179
511.0,0.25658313433329266,0.05262907346089681,0.30921220779418945,0.0006051119526305078
1023.0,0.5118321577707926,0.05254228909810384,0.5643744468688965,0.0005516856763136818
2047.0,1.0294408003489177,0.05551807085673014,1.0849588712056477,0.0005300238745508782
4095.0,2.1411332289377847,0.0555723508199056,2.1967055797576904,0.000536436039012867
8191.0,4.3740659554799395,0.05641500155131022,4.43048095703125,0.0005408962223209926
16383.0,9.909741004308065,0.06320389111836751,9.972944895426432,0.0006087374043475817
32767.0,19.690742413202923,0.05952684084574381,19.750269254048664,0.0006027487793831801
65535.0,39.3637687365214,0.06350096066792806,39.42726969718933,0.0006016215716363672
131071.0,76.73801334698994,0.05981262524922689,76.79782597223918,0.0005859253837404093
262143.0,148.7133422692617,0.07575201988220215,148.7890942891439,0.000567587516314164
524287.0,309.9726045926412,0.0796205202738444,310.05222511291504,0.0005913788156351674
1048575.0,620.8171500364939,0.08452526728312175,620.9016753037771,0.0005921385454581476
