,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Transactions,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Items,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0
Itemset Combinations,15.0,31.0,63.0,127.0,255.0,511.0,1023.0,2047.0
Apriori,0.0046816666920979815,0.004331032435099284,0.004266977310180664,0.004427512486775716,0.0042073726654052734,0.005439599355061849,0.00495600700378418,0.005088647206624349
Brute Force,0.023103078206380207,0.048316399256388344,0.05634967486063639,0.09038217862447102,0.15898728370666504,0.32693179448445636,0.5948646068572998,1.1687369346618652
